,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
163,TIMP1,CD63,Fibroblast cell,Endothelial cell,1.8056052,0.0,Ligand,Receptor,TIMP1,CD63,1.8056052
165,MFGE8,PDGFRB,Fibroblast cell,Stellate cell,1.8023255,0.0,Ligand,Receptor,MFGE8,PDGFRB,1.8023255
167,PSAP,LRP1,Fibroblast cell,Fibroblast cell,1.8004048,0.0,Ligand,Receptor,PSAP,LRP1,1.8004048
169,TIMP3,CD44,Fibroblast cell,Endothelial cell,1.7986528,0.003,Ligand,Receptor,TIMP3,CD44,1.7986528
170,FBLN1,ITGB1,Fibroblast cell,Fibroblast cell,1.7923412,0.0,Ligand,Receptor,FBLN1,ITGB1,1.7923412
171,FBLN1,ITGB1,Fibroblast cell,Endothelial cell,1.7919607,0.0,Ligand,Receptor,FBLN1,ITGB1,1.7919607
172,HSP90AA1,ERBB2,Ductal cell type 1,Ductal cell type 1,1.7895634,0.0,Ligand,Receptor,HSP90AA1,ERBB2,1.7895634
173,VIM,CD44,Fibroblast cell,Endothelial cell,1.7884088,0.003,Ligand,Receptor,VIM,CD44,1.7884088
174,CALM2,MYLK,Ductal cell type 1,Stellate cell,1.7856138,0.0,Ligand,Receptor,CALM2,MYLK,1.7856138
177,COPA,CD74,Acinar cell,Endothelial cell,1.7780849,0.0,Ligand,Receptor,COPA,CD74,1.7780849
179,TIMP3,KDR,Stellate cell,Endothelial cell,1.7672026,0.0,Ligand,Receptor,TIMP3,KDR,1.7672026
183,SERPING1,LRP1,Ductal cell type 1,Fibroblast cell,1.765362,0.0,Ligand,Receptor,SERPING1,LRP1,1.765362
185,VIM,CD44,Endothelial cell,Ductal cell type 1,1.7624276,0.0,Ligand,Receptor,VIM,CD44,1.7624276
187,COPA,CD74,Endothelial cell,Endothelial cell,1.7527044,0.0,Ligand,Receptor,COPA,CD74,1.7527044
189,TIMP1,CD63,Endothelial cell,Fibroblast cell,1.7520764,0.0,Ligand,Receptor,TIMP1,CD63,1.7520764
190,CXCL12,ITGB1,Fibroblast cell,Fibroblast cell,1.748687,0.0,Ligand,Receptor,CXCL12,ITGB1,1.748687
191,CXCL12,ITGB1,Fibroblast cell,Endothelial cell,1.7483063,0.0,Ligand,Receptor,CXCL12,ITGB1,1.7483063
192,APP,LRP1,Endothelial cell,Fibroblast cell,1.747903,0.0,Ligand,Receptor,APP,LRP1,1.747903
194,CALM1,AQP1,Endothelial cell,Ductal cell type 1,1.7474685,0.0,Ligand,Receptor,CALM1,AQP1,1.7474685
195,APP,APLP2,Endothelial cell,Ductal cell type 1,1.7456409,0.0,Ligand,Receptor,APP,APLP2,1.7456409
197,COL1A2,CD44,Fibroblast cell,Ductal cell type 1,1.740964,0.0,Ligand,Receptor,COL1A2,CD44,1.740964
199,APP,RPSA,Ductal cell type 1,Ductal cell type 1,1.7344985,0.0,Ligand,Receptor,APP,RPSA,1.7344985
200,TIMP2,CD44,Fibroblast cell,Ductal cell type 1,1.7343993,0.0,Ligand,Receptor,TIMP2,CD44,1.7343993
202,TIMP3,DDR1,Fibroblast cell,Acinar cell,1.7027788,0.0,Ligand,Receptor,TIMP3,DDR1,1.7027788
211,FBLN1,ITGB1,Fibroblast cell,Ductal cell type 1,1.6842116,0.0,Ligand,Receptor,FBLN1,ITGB1,1.6842116
212,TIMP3,DDR1,Fibroblast cell,Endothelial cell,1.6818087,0.0,Ligand,Receptor,TIMP3,DDR1,1.6818087
215,PTN,SDC4,Fibroblast cell,Ductal cell type 1,1.6751359,0.0,Ligand,Receptor,PTN,SDC4,1.6751359
216,APP,LRP1,Ductal cell type 1,Fibroblast cell,1.673906,0.0,Ligand,Receptor,APP,LRP1,1.673906
